Date,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-07-12T13:25:31.720Z,,,Included,auto,No,0,60444,287506,2371,350321,Included
2026-07-12T15:24:13.255Z,,,Included,auto,No,50770,6,84154,2791,137721,Included
2026-07-12T15:25:12.324Z,,,Included,auto,No,20662,10,152432,2348,175452,Included
2026-07-12T15:26:07.376Z,,,Included,auto,No,0,68609,414904,2540,486053,Included
2026-07-12T15:27:07.805Z,,,Included,auto,No,0,39764,35072,1833,76669,Included
2026-07-12T15:27:25.869Z,,,Included,auto,No,0,42976,547086,5949,596011,Included
2026-07-12T15:29:25.184Z,,,Included,auto,No,0,2207,81088,4155,87450,Included
2026-07-12T15:39:06.952Z,,,Included,auto,No,0,43817,453664,1175,498656,Included
2026-07-12T15:39:57.936Z,,,Included,auto,No,0,48802,516674,5840,571316,Included
2026-07-12T15:41:05.480Z,,,Included,auto,No,0,5069,110570,6169,121808,Included
2026-07-12T15:41:53.683Z,,,Included,auto,No,0,23901,460704,15962,500567,Included
2026-07-12T15:44:05.607Z,,,Included,auto,No,0,8890,889344,6246,904480,Included
2026-07-12T15:51:16.716Z,,,Included,auto,No,142738,24,1779430,12774,1934966,Included
2026-07-12T15:55:47.149Z,,,Included,auto,No,153657,54,2884233,24937,3062881,Included
2026-07-12T15:57:54.149Z,,,Included,auto,No,43958,8,112172,1885,158023,Included
2026-07-12T16:00:48.435Z,,,Included,auto,No,,,,,,Free
2026-07-12T16:00:51.788Z,,,Included,auto,No,0,24848,146944,1589,173381,Included
2026-07-12T16:01:36.942Z,,,Included,auto,No,0,81558,232018,5300,318876,Included
2026-07-12T16:04:44.520Z,,,Included,auto,No,58304,12,435535,1809,495660,Included
2026-07-12T16:14:13.823Z,,,Included,auto,No,66113,34,1490580,5103,1561830,Included
2026-07-12T16:14:37.106Z,,,Included,auto,No,147372,6,372309,2037,521724,Included
2026-07-12T16:16:17.272Z,,,Included,auto,No,29136,14,1349873,12467,1391490,Included
2026-07-12T16:22:58.826Z,,,Included,auto,No,0,41949,174403,2569,218921,Included
2026-07-12T16:23:19.761Z,,,Included,auto,No,0,46345,57787,2779,106911,Included
